route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,trip_note,route_direction
2441_393,213,635969,57003,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,635970,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,635971,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,635972,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,635998,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,635999,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636000,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636001,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636002,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636003,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636004,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636005,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636006,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636007,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636008,56996,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636011,56995,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636012,57013,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636022,57003,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_395,213,636023,56992,Railway Sq,1,,2,,Maroubra Beach to Central Railway Square
2441_395,213,636024,56992,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_393,213,636049,56996,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636060,57013,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636061,57013,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_395,213,636062,56991,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_393,213,636064,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636065,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636066,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636067,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636068,57003,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636069,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636070,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636071,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636072,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636073,57003,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636074,57011,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636075,57011,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636076,57011,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_395,213,636077,56991,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,636078,56991,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_393,213,636084,57011,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_395,213,636089,56992,Railway Sq,1,,2,,Maroubra Beach to Central Railway Square
2441_393,213,636099,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636100,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636101,57008,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636124,56996,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_395,213,636126,56991,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,636129,56991,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_393,213,636130,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636136,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636137,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636138,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636180,56997,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636182,57013,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636188,57011,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636191,57011,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636219,57011,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636226,57011,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636229,56995,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_395,213,636239,56991,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,636240,56992,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_393,213,636269,56995,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636270,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636271,56995,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636288,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636289,57003,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636290,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636291,57003,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636292,57003,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636293,57003,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636294,57003,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636296,57011,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636300,57011,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636301,57011,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_395,213,636315,56991,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,636316,56992,Railway Sq,1,,2,,Maroubra Beach to Central Railway Square
2441_395,213,636317,56992,Railway Sq,1,,2,,Maroubra Beach to Central Railway Square
2441_395,213,636318,56992,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,636319,56992,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,636320,56992,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,636321,56992,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,636322,56992,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,636323,56992,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,636324,56992,Railway Sq,1,,2,,Maroubra Beach to Central Railway Square
2441_395,213,636325,56992,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_393,213,636326,57003,Railway Sq,1,,2,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_395,213,636327,56992,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_395,213,636329,56991,Railway Sq,1,,2,,Maroubra Beach to Central Railway Square
2441_393,213,636330,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636355,57007,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636362,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_393,213,636381,57003,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_395,213,636385,56991,Railway Sq,1,,1,,Maroubra Beach to Central Railway Square
2441_393,213,636391,56996,Railway Sq,1,,1,,Little Bay to Central Railway Square via Maroubra & Kingsford
2441_395,213,636397,56992,Railway Sq,1,,2,,Maroubra Beach to Central Railway Square
